iter	Passed	Remaining
726	8023	3012
727	8034	3001
728	8044	2990
729	8055	2979
730	8065	2967
731	8077	2957
732	8087	2946
733	8099	2935
734	8111	2924
735	8121	2913
736	8134	2902
737	8145	2891
738	8157	2880
739	8168	2870
740	8180	2859
741	8192	2848
742	8202	2837
743	8215	2826
744	8226	2815
745	8238	2804
746	8250	2794
747	8261	2783
748	8273	2772
749	8285	2761
750	8296	2750
751	8308	2740
752	8321	2729
753	8333	2718
754	8344	2707
755	8356	2697
756	8367	2686
757	8378	2674
758	8389	2663
759	8402	2653
760	8414	2642
761	8425	2631
762	8435	2620
763	8447	2609
764	8460	2598
765	8471	2587
766	8483	2577
767	8495	2566
768	8508	2555
769	8519	2544
770	8531	2533
771	8541	2522
772	8553	2511
773	8563	2500
774	8575	2489
775	8585	2478
776	8596	2467
777	8608	2456
778	8619	2445
779	8629	2434
780	8641	2423
781	8652	2412
782	8664	2401
783	8674	2389
784	8685	2378
785	8696	2367
786	8710	2357
787	8720	2346
788	8732	2335
789	8744	2324
790	8756	2313
791	8769	2302
792	8780	2291
793	8790	2280
794	8802	2269
795	8814	2259
796	8826	2248
797	8837	2237
798	8848	2225
799	8859	2214
800	8870	2203
801	8881	2192
802	8892	2181
803	8903	2170
804	8914	2159
805	8925	2148
806	8936	2137
807	8947	2126
808	8959	2115
809	8975	2105
810	8985	2094
811	8996	2082
812	9008	2072
813	9019	2061
814	9030	2049
815	9041	2038
816	9052	2027
817	9063	2016
818	9075	2005
819	9086	1994
820	9098	1983
821	9109	1972
822	9121	1961
823	9132	1950
824	9142	1939
825	9155	1928
826	9166	1917
827	9177	1906
828	9188	1895
829	9199	1884
830	9211	1873
831	9222	1862
832	9234	1851
833	9246	1840
834	9258	1829
835	9269	1818
836	9281	1807
837	9292	1796
838	9303	1785
839	9314	1774
840	9326	1763
841	9338	1752
842	9350	1741
843	9361	1730
844	9372	1719
845	9382	1707
846	9392	1696
847	9404	1685
848	9415	1674
849	9425	1663
850	9437	1652
851	9447	1641
852	9459	1630
853	9469	1618
854	9480	1607
855	9491	1596
856	9502	1585
857	9513	1574
858	9523	1563
859	9535	1552
860	9546	1541
861	9557	1530
862	9568	1519
863	9580	1507
864	9590	1496
865	9602	1485
866	9613	1474
867	9625	1463
868	9636	1452
869	9647	1441
870	9659	1430
871	9670	1419
872	9681	1408
873	9692	1397
874	9704	1386
875	9714	1375
876	9724	1363
877	9735	1352
878	9745	1341
879	9756	1330
880	9768	1319
881	9780	1308
882	9791	1297
883	9802	1286
884	9812	1275
885	9822	1263
886	9833	1252
887	9845	1241
888	9856	1230
889	9867	1219
890	9877	1208
891	9889	1197
892	9900	1186
893	9910	1175
894	9922	1164
895	9934	1153
896	9945	1142
897	9957	1131
898	9970	1120
899	9981	1109
900	9992	1097
901	10003	1086
902	10014	1075
903	10025	1064
904	10037	1053
905	10047	1042
906	10058	1031
907	10069	1020
908	10082	1009
909	10093	998
910	10104	987
911	10115	976
912	10125	964
913	10136	953
914	10148	942
915	10159	931
916	10169	920
917	10180	909
918	10191	898
919	10202	887
920	10214	876
921	10225	865
922	10236	853
923	10247	842
924	10258	831
925	10268	820
926	10278	809
927	10290	798
928	10302	787
929	10312	776
930	10324	765
931	10336	754
932	10347	743
933	10357	731
934	10368	720
935	10379	709
936	10390	698
937	10401	687
938	10411	676
939	10422	665
940	10433	654
941	10444	643
942	10456	632
943	10467	620
944	10477	609
945	10489	598
946	10499	587
947	10510	576
948	10522	565
949	10532	554
950	10543	543
951	10553	532
952	10564	521
953	10576	509
954	10586	498
955	10598	487
956	10611	476
957	10622	465
958	10633	454
959	10644	443
960	10655	432
961	10665	421
962	10676	410
963	10688	399
964	10700	388
965	10711	377
966	10723	365
967	10733	354
968	10743	343
969	10754	332
970	10766	321
971	10776	310
972	10789	299
973	10800	288
974	10811	277
975	10823	266
976	10835	255
977	10846	243
978	10857	232
979	10868	221
980	10879	210
981	10889	199
982	10901	188
983	10912	177
984	10923	166
985	10934	155
986	10947	144
987	10959	133
988	10970	122
989	10981	110
990	10992	99
991	11004	88
992	11016	77
993	11029	66
994	11042	55
995	11054	44
996	11066	33
997	11077	22
998	11089	11
999	11100	0
